folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
1801025805,1,TB08,450,0,440.21
1801037211,1,TB11,2472,2472,1229.17
1801056414,1,TB08,1005,630,983.15
1801156806,1,TB03,532, ,1596
1801156806,1,TB02,535, ,1605
1801175202,1,TB05,450, ,1306.45
1801175202,1,TB08,500,500,489.13
1801190501,1,TB11,2000,0,978.26
1801190501,1,TB08,5720,0,5595.65
1801190506,1,TB11,1200,0,586.95
1801190506,1,TB08,1000,1000,978.26
1801204601,1,TB09,1200,0,1173.91
1801204602,1,TB08,1490,0,1457.6
1801204604,1,TB08,7280,0,7121.73
1801204605,1,TB08,8680,0,8491.3
1801215704,1,TB11,1200,0,590.16
1801215704,1,TB12,800,0,393.44
1801215705,1,TR08,2000,2000,1956.52
1801215705,1,TB07,263, ,789
1801215705,1,TB12,398,0,195.73
1801215705,1,TB01,2000, ,6000
1801215705,1,TB02,547, ,1641
1801215705,1,TB08,9851,6196,9636.84
1801215705,1,TB09,600,0,586.95
1801215706,1,TB12,3100,3100,1524.59
1801264724,1,TB11,30000,0,14754.09
1801281213,1,TB08,2365,433,2313.58
1801281213,1,TB05,2000, ,5806.45
1801281604,1,TB08,1800,299,1760.86
1801281605,1,TB08,3470,640,3394.56
1801282301,1,TB09,4000,0,3913.04
1801282301,1,TB11,3000,0,1467.39
1801282304,1,TB11,9000,9000,4402.17
1801285202,1,TB08,2900,1400,2836.95
1801285204,1,TB04,78, ,226.45
1801285204,1,TB07,848, ,2461.93
1801285314,1,TB08,3000,3000,2934.78
1801285316,1,TB08,1800,0,1760.86
1801285316,1,TB12,1500,0,733.69
1801298716,1,TB11,13000,0,6393.44
1801318018,1,TB11,8900,0,4353.26
1801318018,1,TB08,4830,4830,4724.99
1801318621,1,TB02,282, ,846
1801318621,1,TB01,2800, ,8400
1801318621,1,TB07,600, ,1800
1801318621,1,TB03,228, ,684
1801318621,1,TB05,2000, ,6000
1801318806,1,TR01,1200, ,3600
1801429413,1,TB05,2500, ,7258.06
1801429415,1,TB05,500, ,1451.61
1801429418,1,TB08,600,0,586.95
1801429418,1,TB11,14000,0,6847.82
1801444303,1,TB09,480,0,469.56
1801444816,1,TB08,7340,7340,7180.43
1801444818,1,TB08,900,0,880.43
1801444909,1,TB08,300,300,293.47
1801445611,1,TB11,1000,0,491.8
1801445611,1,TB08,400,0,391.3
1801488307,1,TB08,1350,0,1320.65
1801488506,1,TB12,10000,0,4891.3
1801488506,1,TB11,7000,0,3423.91
