folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
160162801,1,1,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , , ,2, , , , , , , , , , , , ,2,4,96570,1665,0,56600,23746.72,409.42,0,13918.03,10236.39,0
160162803,1,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,280000,73600,2, , , , , , , , , , , , ,2,4,334200,14855,25000,214730,82180.32,3652.86,6147.54,52802.45,39178.03,0
160186605,1,1,1,4,1, ,2, , , , , , , , ,7,2,2,0,0, , ,2,2,0,0, , , ,10000,2, , , , , , , , , , , , ,2,4,59250,4750,0,66800,14569.67,1168.03,0,16426.22,0,687.54
160202423,1,1,1,5,1,2,2, , , , , , , , ,6,3,3,0,0, , ,2,2,0,1,1,0,99000,3000,1, , , ,200000, , , , , , , , ,2,3,0,0,0,4300,0,0,0,1051.63,0,1050.65
160202715,1,1,2,5,1,1,2, , , , , , , , ,6,2,1,1,1,0,1,1,1,0,0, , ,72300,3600,2, , , , , , , , , , , , ,2,4,30000,4352,0,77400,7377.04,1070.16,0,19032.78,0,10584.59
160215201,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , ,2400,7000,2, , , , , , , , ,5400,5, , ,2,4,800,0,0,4600,198.89,0,0,1143.64,0,942.76
160215312,1,1,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,6000, ,2, , , , , , , , , , , , ,2,4,34000,4000,0,32520,8315.21,978.26,0,7953.26,1338.26,0
160215510,1,1,1,4,1, ,2, , , , , , , , ,1,6,6,0,4,4,0,2,2,0,0, , , , ,2, , , , , , , , , , , , ,2,4,0,19000,0,57840,0,4646.73,0,14145.65,0,9496.95
160215510,1,1,1,5,1,1,2, , , , , , , , ,1,6,6,0,4,4,0,2,2,0,0, , ,69200, ,2, , , , , , , , , , , , ,2,4,141000,8700,0,58000,34483.69,2127.71,0,14184.78,22424.67,0
160229801,1,3,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,10000,2, , , , , , , , , , , , ,2,4,44000,0,0,30000,10819.67,0,0,7377.04,3440.65,0
160229801,1,3,1,5,1,1,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,4,36480,0,0,29200,8970.49,0,0,7180.32,1788.19,0
160229803,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , ,1000,4000,2, , , , , , , , ,1200,8, , ,2,4,39000,650,0,14600,9590.16,159.83,0,3590.16,6158.36,0
160229803,1,1,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,7000,24500,2, , , , , , , , , , , , ,2,4,122500,0,0,36400,30122.95,0,0,8950.81,21172.13,0
